time_iso,latitude,longitude,timezone,elevation,temperature_2m_c,relative_humidity_2m_pct,apparent_temperature_c,precipitation_mm,weathercode_wmo,windspeed_10m_kmh
2025-12-23T00:00:00+00:00,39.875,116.375,GMT,47.0,-1.0,79,-4.1,0.0,0,3.0
2025-12-23T01:00:00+00:00,39.875,116.375,GMT,47.0,0.8,52,-3.0,0.0,0,5.4
2025-12-23T02:00:00+00:00,39.875,116.375,GMT,47.0,2.7,36,-1.8,0.0,0,8.2
2025-12-23T03:00:00+00:00,39.875,116.375,GMT,47.0,4.2,28,-0.7,0.0,0,10.2
2025-12-23T04:00:00+00:00,39.875,116.375,GMT,47.0,5.3,23,-0.1,0.0,0,13.4
2025-12-23T05:00:00+00:00,39.875,116.375,GMT,47.0,5.7,22,0.1,0.0,0,14.7
2025-12-23T06:00:00+00:00,39.875,116.375,GMT,47.0,6.6,21,0.8,0.0,0,15.2
2025-12-23T07:00:00+00:00,39.875,116.375,GMT,47.0,6.5,20,0.9,0.0,0,14.0
2025-12-23T08:00:00+00:00,39.875,116.375,GMT,47.0,6.1,21,0.8,0.0,0,12.2
2025-12-23T09:00:00+00:00,39.875,116.375,GMT,47.0,5.0,23,0.2,0.0,0,8.2
2025-12-23T10:00:00+00:00,39.875,116.375,GMT,47.0,3.5,28,-0.8,0.0,0,5.8
2025-12-23T11:00:00+00:00,39.875,116.375,GMT,47.0,2.7,31,-1.4,0.0,0,4.7
2025-12-23T12:00:00+00:00,39.875,116.375,GMT,47.0,2.1,30,-2.1,0.0,0,5.2
2025-12-23T13:00:00+00:00,39.875,116.375,GMT,47.0,1.5,34,-2.6,0.0,0,4.9
2025-12-23T14:00:00+00:00,39.875,116.375,GMT,47.0,0.9,37,-3.2,0.0,0,4.6
2025-12-23T15:00:00+00:00,39.875,116.375,GMT,47.0,0.3,39,-3.7,0.0,0,4.3
2025-12-23T16:00:00+00:00,39.875,116.375,GMT,47.0,-0.3,40,-4.3,0.0,0,4.1
2025-12-23T17:00:00+00:00,39.875,116.375,GMT,47.0,-0.5,41,-4.3,0.0,0,2.9
2025-12-23T18:00:00+00:00,39.875,116.375,GMT,47.0,-0.8,41,-4.6,0.0,0,2.8
2025-12-23T19:00:00+00:00,39.875,116.375,GMT,47.0,-1.8,46,-5.7,0.0,0,3.6
2025-12-23T20:00:00+00:00,39.875,116.375,GMT,47.0,-2.7,52,-6.5,0.0,0,2.9
2025-12-23T21:00:00+00:00,39.875,116.375,GMT,47.0,-3.0,55,-6.6,0.0,0,2.2
2025-12-23T22:00:00+00:00,39.875,116.375,GMT,47.0,-3.2,56,-6.6,0.0,0,1.0
2025-12-23T23:00:00+00:00,39.875,116.375,GMT,47.0,-3.1,55,-6.4,0.0,0,0.4
2025-12-24T00:00:00+00:00,39.875,116.375,GMT,47.0,-2.6,51,-6.2,0.0,0,1.8
2025-12-24T01:00:00+00:00,39.875,116.375,GMT,47.0,-2.0,47,-5.9,0.0,0,3.5
2025-12-24T02:00:00+00:00,39.875,116.375,GMT,47.0,-1.6,47,-5.3,0.0,1,2.4
2025-12-24T03:00:00+00:00,39.875,116.375,GMT,47.0,-0.2,42,-3.9,0.0,2,2.5
2025-12-24T04:00:00+00:00,39.875,116.375,GMT,47.0,1.2,36,-2.4,0.0,2,1.5
2025-12-24T05:00:00+00:00,39.875,116.375,GMT,47.0,2.8,32,-0.9,0.0,0,1.6
2025-12-24T06:00:00+00:00,39.875,116.375,GMT,47.0,4.5,26,0.3,0.0,0,4.8
2025-12-24T07:00:00+00:00,39.875,116.375,GMT,47.0,5.8,19,0.6,0.0,0,11.1
2025-12-24T08:00:00+00:00,39.875,116.375,GMT,47.0,5.4,17,-0.9,0.0,0,18.2
2025-12-24T09:00:00+00:00,39.875,116.375,GMT,47.0,4.3,18,-1.4,0.0,0,13.8
2025-12-24T10:00:00+00:00,39.875,116.375,GMT,47.0,3.0,22,-1.9,0.0,0,8.5
2025-12-24T11:00:00+00:00,39.875,116.375,GMT,47.0,1.8,25,-3.1,0.0,0,8.6
2025-12-24T12:00:00+00:00,39.875,116.375,GMT,47.0,1.0,23,-4.4,0.0,0,11.6
2025-12-24T13:00:00+00:00,39.875,116.375,GMT,47.0,0.2,22,-5.7,0.0,0,14.6
2025-12-24T14:00:00+00:00,39.875,116.375,GMT,47.0,-0.7,22,-6.7,0.0,0,15.0
2025-12-24T15:00:00+00:00,39.875,116.375,GMT,47.0,-1.5,22,-7.5,0.0,0,15.0
2025-12-24T16:00:00+00:00,39.875,116.375,GMT,47.0,-2.4,22,-8.3,0.0,0,14.1
2025-12-24T17:00:00+00:00,39.875,116.375,GMT,47.0,-3.3,22,-9.0,0.0,0,12.3
2025-12-24T18:00:00+00:00,39.875,116.375,GMT,47.0,-4.1,22,-9.6,0.0,0,10.7
2025-12-24T19:00:00+00:00,39.875,116.375,GMT,47.0,-4.8,21,-10.0,0.0,0,8.9
2025-12-24T20:00:00+00:00,39.875,116.375,GMT,47.0,-5.3,22,-10.2,0.0,0,6.8
2025-12-24T21:00:00+00:00,39.875,116.375,GMT,47.0,-5.7,23,-10.3,0.0,0,5.2
2025-12-24T22:00:00+00:00,39.875,116.375,GMT,47.0,-6.0,25,-10.5,0.0,0,4.1
2025-12-24T23:00:00+00:00,39.875,116.375,GMT,47.0,-6.2,26,-10.5,0.0,0,3.3
2025-12-25T00:00:00+00:00,39.875,116.375,GMT,47.0,-6.2,27,-10.5,0.0,0,2.5
2025-12-25T01:00:00+00:00,39.875,116.375,GMT,47.0,-5.7,26,-10.0,0.0,0,2.6
2025-12-25T02:00:00+00:00,39.875,116.375,GMT,47.0,-4.4,23,-8.8,0.0,0,3.8
2025-12-25T03:00:00+00:00,39.875,116.375,GMT,47.0,-3.0,23,-7.6,0.0,0,5.3
2025-12-25T04:00:00+00:00,39.875,116.375,GMT,47.0,-1.6,22,-6.2,0.0,0,5.4
2025-12-25T05:00:00+00:00,39.875,116.375,GMT,47.0,-0.2,20,-4.5,0.0,0,3.3
2025-12-25T06:00:00+00:00,39.875,116.375,GMT,47.0,1.1,18,-3.1,0.0,0,2.8
2025-12-25T07:00:00+00:00,39.875,116.375,GMT,47.0,1.2,19,-3.8,0.0,0,8.7
2025-12-25T08:00:00+00:00,39.875,116.375,GMT,47.0,-0.3,24,-5.7,0.0,0,11.9
2025-12-25T09:00:00+00:00,39.875,116.375,GMT,47.0,-1.6,29,-7.0,0.0,0,11.9
2025-12-25T10:00:00+00:00,39.875,116.375,GMT,47.0,-2.4,33,-7.6,0.0,0,10.8
2025-12-25T11:00:00+00:00,39.875,116.375,GMT,47.0,-3.0,36,-7.8,0.0,0,8.2
2025-12-25T12:00:00+00:00,39.875,116.375,GMT,47.0,-3.5,40,-7.9,0.0,0,5.2
2025-12-25T13:00:00+00:00,39.875,116.375,GMT,47.0,-3.8,43,-7.8,0.0,0,2.8
2025-12-25T14:00:00+00:00,39.875,116.375,GMT,47.0,-4.0,47,-7.7,0.0,0,1.1
2025-12-25T15:00:00+00:00,39.875,116.375,GMT,47.0,-4.2,45,-8.0,0.0,0,1.8
2025-12-25T16:00:00+00:00,39.875,116.375,GMT,47.0,-4.6,48,-8.5,0.0,0,2.5
2025-12-25T17:00:00+00:00,39.875,116.375,GMT,47.0,-5.2,52,-9.0,0.0,0,1.9
2025-12-25T18:00:00+00:00,39.875,116.375,GMT,47.0,-5.7,54,-9.5,0.0,0,2.3
2025-12-25T19:00:00+00:00,39.875,116.375,GMT,47.0,-6.2,56,-10.2,0.0,1,3.3
2025-12-25T20:00:00+00:00,39.875,116.375,GMT,47.0,-6.7,56,-10.7,0.0,0,3.7
2025-12-25T21:00:00+00:00,39.875,116.375,GMT,47.0,-7.0,56,-11.1,0.0,0,3.5
2025-12-25T22:00:00+00:00,39.875,116.375,GMT,47.0,-7.3,57,-11.4,0.0,0,3.5
2025-12-25T23:00:00+00:00,39.875,116.375,GMT,47.0,-7.6,59,-11.6,0.0,0,3.2
2025-12-26T00:00:00+00:00,39.875,116.375,GMT,47.0,-7.9,60,-11.9,0.0,0,3.2
2025-12-26T01:00:00+00:00,39.875,116.375,GMT,47.0,-7.4,59,-11.4,0.0,0,3.1
2025-12-26T02:00:00+00:00,39.875,116.375,GMT,47.0,-6.4,55,-10.4,0.0,0,3.9
2025-12-26T03:00:00+00:00,39.875,116.375,GMT,47.0,-5.1,52,-9.3,0.0,0,4.5
2025-12-26T04:00:00+00:00,39.875,116.375,GMT,47.0,-4.0,50,-8.3,0.0,2,5.4
2025-12-26T05:00:00+00:00,39.875,116.375,GMT,47.0,-3.2,48,-7.3,0.0,3,4.8
2025-12-26T06:00:00+00:00,39.875,116.375,GMT,47.0,-2.6,47,-6.6,0.0,3,4.0
2025-12-26T07:00:00+00:00,39.875,116.375,GMT,47.0,-2.2,46,-6.1,0.0,3,3.4
2025-12-26T08:00:00+00:00,39.875,116.375,GMT,47.0,-2.1,47,-5.9,0.0,3,3.0
2025-12-26T09:00:00+00:00,39.875,116.375,GMT,47.0,-2.2,48,-5.9,0.0,3,2.4
2025-12-26T10:00:00+00:00,39.875,116.375,GMT,47.0,-2.5,51,-6.1,0.0,2,1.8
2025-12-26T11:00:00+00:00,39.875,116.375,GMT,47.0,-3.0,55,-6.7,0.0,3,2.9
2025-12-26T12:00:00+00:00,39.875,116.375,GMT,47.0,-3.4,56,-7.3,0.0,3,3.7
2025-12-26T13:00:00+00:00,39.875,116.375,GMT,47.0,-3.8,57,-7.7,0.0,3,4.0
2025-12-26T14:00:00+00:00,39.875,116.375,GMT,47.0,-4.1,58,-7.9,0.0,2,3.8
2025-12-26T15:00:00+00:00,39.875,116.375,GMT,47.0,-4.3,59,-8.2,0.0,2,3.6
2025-12-26T16:00:00+00:00,39.875,116.375,GMT,47.0,-4.6,59,-8.4,0.0,2,3.3
2025-12-26T17:00:00+00:00,39.875,116.375,GMT,47.0,-4.7,60,-8.4,0.0,2,2.5
2025-12-26T18:00:00+00:00,39.875,116.375,GMT,47.0,-4.8,60,-8.5,0.0,1,2.2
2025-12-26T19:00:00+00:00,39.875,116.375,GMT,47.0,-5.0,60,-8.6,0.0,0,1.8
2025-12-26T20:00:00+00:00,39.875,116.375,GMT,47.0,-5.1,60,-8.7,0.0,0,1.8
2025-12-26T21:00:00+00:00,39.875,116.375,GMT,47.0,-5.2,60,-8.8,0.0,0,1.6
2025-12-26T22:00:00+00:00,39.875,116.375,GMT,47.0,-5.3,60,-8.8,0.0,0,0.8
2025-12-26T23:00:00+00:00,39.875,116.375,GMT,47.0,-5.4,60,-8.8,0.0,0,0.4
2025-12-27T00:00:00+00:00,39.875,116.375,GMT,47.0,-5.1,59,-8.6,0.0,0,0.8
2025-12-27T01:00:00+00:00,39.875,116.375,GMT,47.0,-4.2,56,-7.7,0.0,0,0.8
2025-12-27T02:00:00+00:00,39.875,116.375,GMT,47.0,-3.0,51,-6.5,0.0,0,0.5
2025-12-27T03:00:00+00:00,39.875,116.375,GMT,47.0,-1.7,47,-5.1,0.0,0,0.7
2025-12-27T04:00:00+00:00,39.875,116.375,GMT,47.0,-0.0,42,-3.6,0.0,0,1.4
2025-12-27T05:00:00+00:00,39.875,116.375,GMT,47.0,1.8,38,-1.9,0.0,0,2.2
2025-12-27T06:00:00+00:00,39.875,116.375,GMT,47.0,2.9,35,-0.9,0.0,0,3.0
2025-12-27T07:00:00+00:00,39.875,116.375,GMT,47.0,2.9,36,-0.9,0.0,0,3.9
2025-12-27T08:00:00+00:00,39.875,116.375,GMT,47.0,2.3,39,-1.7,0.0,0,4.8
2025-12-27T09:00:00+00:00,39.875,116.375,GMT,47.0,1.5,42,-2.5,0.0,0,5.3
2025-12-27T10:00:00+00:00,39.875,116.375,GMT,47.0,0.7,46,-3.3,0.0,1,5.5
2025-12-27T11:00:00+00:00,39.875,116.375,GMT,47.0,-0.2,51,-4.2,0.0,1,5.2
2025-12-27T12:00:00+00:00,39.875,116.375,GMT,47.0,-1.0,55,-4.9,0.0,1,5.2
2025-12-27T13:00:00+00:00,39.875,116.375,GMT,47.0,-1.6,58,-5.5,0.0,1,4.8
2025-12-27T14:00:00+00:00,39.875,116.375,GMT,47.0,-2.1,60,-5.9,0.0,1,4.5
2025-12-27T15:00:00+00:00,39.875,116.375,GMT,47.0,-2.5,62,-6.2,0.0,1,3.8
2025-12-27T16:00:00+00:00,39.875,116.375,GMT,47.0,-2.9,65,-6.4,0.0,3,2.9
2025-12-27T17:00:00+00:00,39.875,116.375,GMT,47.0,-3.2,68,-6.6,0.0,3,2.3
2025-12-27T18:00:00+00:00,39.875,116.375,GMT,47.0,-3.6,71,-6.9,0.0,3,2.0
2025-12-27T19:00:00+00:00,39.875,116.375,GMT,47.0,-4.0,74,-7.4,0.0,1,1.8
2025-12-27T20:00:00+00:00,39.875,116.375,GMT,47.0,-4.5,77,-7.9,0.0,1,2.1
2025-12-27T21:00:00+00:00,39.875,116.375,GMT,47.0,-5.0,80,-8.5,0.0,1,2.8
2025-12-27T22:00:00+00:00,39.875,116.375,GMT,47.0,-5.6,83,-9.1,0.0,0,2.9
2025-12-27T23:00:00+00:00,39.875,116.375,GMT,47.0,-6.2,86,-9.8,0.0,0,3.1
2025-12-28T00:00:00+00:00,39.875,116.375,GMT,47.0,-6.3,86,-9.9,0.0,0,3.1
2025-12-28T01:00:00+00:00,39.875,116.375,GMT,47.0,-5.7,82,-9.3,0.0,3,3.4
2025-12-28T02:00:00+00:00,39.875,116.375,GMT,47.0,-4.6,76,-8.2,0.0,3,3.5
2025-12-28T03:00:00+00:00,39.875,116.375,GMT,47.0,-3.5,71,-7.1,0.0,3,3.7
2025-12-28T04:00:00+00:00,39.875,116.375,GMT,47.0,-2.5,67,-6.1,0.0,3,3.6
2025-12-28T05:00:00+00:00,39.875,116.375,GMT,47.0,-1.6,64,-5.2,0.0,3,3.8
2025-12-28T06:00:00+00:00,39.875,116.375,GMT,47.0,-0.9,62,-4.4,0.0,3,3.4
2025-12-28T07:00:00+00:00,39.875,116.375,GMT,47.0,-0.5,62,-3.8,0.0,0,2.4
2025-12-28T08:00:00+00:00,39.875,116.375,GMT,47.0,-0.5,63,-3.6,0.0,0,1.1
2025-12-28T09:00:00+00:00,39.875,116.375,GMT,47.0,-0.6,65,-3.5,0.0,0,0.0
2025-12-28T10:00:00+00:00,39.875,116.375,GMT,47.0,-0.9,67,-3.9,0.0,0,0.8
2025-12-28T11:00:00+00:00,39.875,116.375,GMT,47.0,-1.5,68,-4.7,0.0,0,2.0
2025-12-28T12:00:00+00:00,39.875,116.375,GMT,47.0,-1.9,70,-5.2,0.0,0,2.5
2025-12-28T13:00:00+00:00,39.875,116.375,GMT,47.0,-2.2,73,-5.3,0.0,0,1.0
2025-12-28T14:00:00+00:00,39.875,116.375,GMT,47.0,-2.5,75,-5.5,0.0,0,1.0
2025-12-28T15:00:00+00:00,39.875,116.375,GMT,47.0,-2.4,72,-5.6,0.0,0,1.5
2025-12-28T16:00:00+00:00,39.875,116.375,GMT,47.0,-1.9,60,-5.1,0.0,0,1.0
2025-12-28T17:00:00+00:00,39.875,116.375,GMT,47.0,-1.0,43,-5.2,0.0,0,5.1
2025-12-28T18:00:00+00:00,39.875,116.375,GMT,47.0,-0.5,30,-5.3,0.0,0,8.1
2025-12-28T19:00:00+00:00,39.875,116.375,GMT,47.0,-0.7,25,-5.8,0.0,0,9.4
2025-12-28T20:00:00+00:00,39.875,116.375,GMT,47.0,-1.2,23,-6.4,0.0,0,10.0
2025-12-28T21:00:00+00:00,39.875,116.375,GMT,47.0,-1.8,24,-7.0,0.0,0,9.8
2025-12-28T22:00:00+00:00,39.875,116.375,GMT,47.0,-2.7,27,-7.7,0.0,0,8.7
2025-12-28T23:00:00+00:00,39.875,116.375,GMT,47.0,-3.7,32,-8.4,0.0,0,6.8
2025-12-29T00:00:00+00:00,39.875,116.375,GMT,47.0,-4.1,34,-8.7,0.0,0,6.6
2025-12-29T01:00:00+00:00,39.875,116.375,GMT,47.0,-3.5,32,-8.4,0.0,0,8.6
2025-12-29T02:00:00+00:00,39.875,116.375,GMT,47.0,-2.3,27,-7.9,0.0,0,12.2
2025-12-29T03:00:00+00:00,39.875,116.375,GMT,47.0,-1.2,23,-7.2,0.0,0,15.1
2025-12-29T04:00:00+00:00,39.875,116.375,GMT,47.0,-0.3,20,-6.5,0.0,0,16.6
2025-12-29T05:00:00+00:00,39.875,116.375,GMT,47.0,0.6,16,-5.7,0.0,0,17.1
2025-12-29T06:00:00+00:00,39.875,116.375,GMT,47.0,1.2,14,-5.2,0.0,0,17.1
2025-12-29T07:00:00+00:00,39.875,116.375,GMT,47.0,1.4,13,-4.8,0.0,0,16.1
2025-12-29T08:00:00+00:00,39.875,116.375,GMT,47.0,1.3,12,-4.9,0.0,0,14.9
2025-12-29T09:00:00+00:00,39.875,116.375,GMT,47.0,1.0,13,-4.9,0.0,0,13.0
2025-12-29T10:00:00+00:00,39.875,116.375,GMT,47.0,0.5,14,-4.9,0.0,0,10.5
2025-12-29T11:00:00+00:00,39.875,116.375,GMT,47.0,-0.1,17,-5.0,0.0,0,6.9
2025-12-29T12:00:00+00:00,39.875,116.375,GMT,47.0,-0.9,20,-5.3,0.0,0,4.2
2025-12-29T13:00:00+00:00,39.875,116.375,GMT,47.0,-1.8,25,-5.9,0.0,0,2.4
2025-12-29T14:00:00+00:00,39.875,116.375,GMT,47.0,-2.8,31,-6.9,0.0,0,3.1
2025-12-29T15:00:00+00:00,39.875,116.375,GMT,47.0,-3.6,36,-7.9,0.0,0,4.6
2025-12-29T16:00:00+00:00,39.875,116.375,GMT,47.0,-4.0,40,-8.3,0.0,0,5.2
2025-12-29T17:00:00+00:00,39.875,116.375,GMT,47.0,-4.2,43,-8.5,0.0,0,5.1
2025-12-29T18:00:00+00:00,39.875,116.375,GMT,47.0,-4.4,46,-8.6,0.0,0,4.6
2025-12-29T19:00:00+00:00,39.875,116.375,GMT,47.0,-4.7,49,-8.8,0.0,0,3.8
2025-12-29T20:00:00+00:00,39.875,116.375,GMT,47.0,-5.1,51,-8.9,0.0,0,2.3
2025-12-29T21:00:00+00:00,39.875,116.375,GMT,47.0,-5.4,53,-9.0,0.0,0,1.3
2025-12-29T22:00:00+00:00,39.875,116.375,GMT,47.0,-5.7,54,-9.3,0.0,3,0.5
2025-12-29T23:00:00+00:00,39.875,116.375,GMT,47.0,-6.1,55,-9.8,0.0,3,1.8
