time_iso,latitude,longitude,timezone,elevation,temperature_2m_c,relative_humidity_2m_pct,apparent_temperature_c,precipitation_mm,weathercode_wmo,windspeed_10m_kmh
2025-12-23T00:00:00+00:00,52.52,13.4,GMT,37.0,1.5,89,-2.6,0.0,51,13.5
2025-12-23T01:00:00+00:00,52.52,13.4,GMT,37.0,1.6,88,-2.8,0.0,51,15.0
2025-12-23T02:00:00+00:00,52.52,13.4,GMT,37.0,1.7,88,-2.4,0.0,51,13.6
2025-12-23T03:00:00+00:00,52.52,13.4,GMT,37.0,1.5,86,-2.9,0.0,51,14.7
2025-12-23T04:00:00+00:00,52.52,13.4,GMT,37.0,1.4,86,-3.1,0.0,3,15.4
2025-12-23T05:00:00+00:00,52.52,13.4,GMT,37.0,1.4,85,-3.1,0.0,3,15.0
2025-12-23T06:00:00+00:00,52.52,13.4,GMT,37.0,1.7,83,-2.8,0.0,3,14.7
2025-12-23T07:00:00+00:00,52.52,13.4,GMT,37.0,1.8,79,-2.7,0.0,3,15.1
2025-12-23T08:00:00+00:00,52.52,13.4,GMT,37.0,1.7,77,-3.0,0.0,3,16.1
2025-12-23T09:00:00+00:00,52.52,13.4,GMT,37.0,1.9,74,-3.2,0.0,3,18.0
2025-12-23T10:00:00+00:00,52.52,13.4,GMT,37.0,2.2,72,-2.5,0.0,3,15.3
2025-12-23T11:00:00+00:00,52.52,13.4,GMT,37.0,2.6,67,-2.5,0.0,3,17.5
2025-12-23T12:00:00+00:00,52.52,13.4,GMT,37.0,2.5,66,-2.6,0.0,3,16.8
2025-12-23T13:00:00+00:00,52.52,13.4,GMT,37.0,2.7,67,-2.1,0.0,3,15.6
2025-12-23T14:00:00+00:00,52.52,13.4,GMT,37.0,2.8,65,-1.9,0.0,3,14.6
2025-12-23T15:00:00+00:00,52.52,13.4,GMT,37.0,2.8,60,-2.0,0.0,3,14.5
2025-12-23T16:00:00+00:00,52.52,13.4,GMT,37.0,2.7,63,-1.8,0.0,2,12.4
2025-12-23T17:00:00+00:00,52.52,13.4,GMT,37.0,2.6,66,-1.4,0.0,3,9.3
2025-12-23T18:00:00+00:00,52.52,13.4,GMT,37.0,2.6,71,-1.4,0.0,3,10.8
2025-12-23T19:00:00+00:00,52.52,13.4,GMT,37.0,2.8,74,-1.2,0.0,3,11.3
2025-12-23T20:00:00+00:00,52.52,13.4,GMT,37.0,2.8,71,-1.6,0.0,2,13.1
2025-12-23T21:00:00+00:00,52.52,13.4,GMT,37.0,2.2,77,-2.2,0.0,2,14.0
2025-12-23T22:00:00+00:00,52.52,13.4,GMT,37.0,1.3,79,-3.2,0.0,1,14.3
2025-12-23T23:00:00+00:00,52.52,13.4,GMT,37.0,0.8,77,-3.6,0.0,0,12.8
2025-12-24T00:00:00+00:00,52.52,13.4,GMT,37.0,0.3,82,-4.1,0.0,1,12.7
2025-12-24T01:00:00+00:00,52.52,13.4,GMT,37.0,-0.0,77,-4.7,0.0,1,13.8
2025-12-24T02:00:00+00:00,52.52,13.4,GMT,37.0,-0.4,81,-5.1,0.0,1,14.3
2025-12-24T03:00:00+00:00,52.52,13.4,GMT,37.0,-0.7,83,-5.3,0.0,1,13.3
2025-12-24T04:00:00+00:00,52.52,13.4,GMT,37.0,-0.9,79,-5.6,0.0,1,13.6
2025-12-24T05:00:00+00:00,52.52,13.4,GMT,37.0,-1.1,79,-5.8,0.0,1,13.2
2025-12-24T06:00:00+00:00,52.52,13.4,GMT,37.0,-1.3,79,-6.0,0.0,2,13.2
2025-12-24T07:00:00+00:00,52.52,13.4,GMT,37.0,-1.6,76,-6.4,0.0,2,13.6
2025-12-24T08:00:00+00:00,52.52,13.4,GMT,37.0,-2.1,68,-7.2,0.0,1,14.7
2025-12-24T09:00:00+00:00,52.52,13.4,GMT,37.0,-2.5,68,-7.7,0.0,1,14.7
2025-12-24T10:00:00+00:00,52.52,13.4,GMT,37.0,-2.6,69,-7.8,0.0,2,14.5
2025-12-24T11:00:00+00:00,52.52,13.4,GMT,37.0,-2.7,68,-7.9,0.0,2,14.5
2025-12-24T12:00:00+00:00,52.52,13.4,GMT,37.0,-2.5,60,-7.8,0.0,1,14.3
2025-12-24T13:00:00+00:00,52.52,13.4,GMT,37.0,-2.5,50,-8.1,0.0,0,15.6
2025-12-24T14:00:00+00:00,52.52,13.4,GMT,37.0,-2.6,47,-8.3,0.0,0,15.0
2025-12-24T15:00:00+00:00,52.52,13.4,GMT,37.0,-3.0,48,-8.5,0.0,0,14.5
2025-12-24T16:00:00+00:00,52.52,13.4,GMT,37.0,-3.4,50,-8.9,0.0,0,14.0
2025-12-24T17:00:00+00:00,52.52,13.4,GMT,37.0,-3.7,51,-9.2,0.0,0,14.0
2025-12-24T18:00:00+00:00,52.52,13.4,GMT,37.0,-4.0,52,-9.5,0.0,0,14.2
2025-12-24T19:00:00+00:00,52.52,13.4,GMT,37.0,-4.2,53,-9.7,0.0,0,14.1
2025-12-24T20:00:00+00:00,52.52,13.4,GMT,37.0,-4.4,56,-9.9,0.0,0,14.1
2025-12-24T21:00:00+00:00,52.52,13.4,GMT,37.0,-4.6,60,-10.1,0.0,0,14.3
2025-12-24T22:00:00+00:00,52.52,13.4,GMT,37.0,-4.8,63,-10.2,0.0,0,14.3
2025-12-24T23:00:00+00:00,52.52,13.4,GMT,37.0,-5.0,65,-10.4,0.0,0,14.0
2025-12-25T00:00:00+00:00,52.52,13.4,GMT,37.0,-5.2,67,-10.5,0.0,0,13.8
2025-12-25T01:00:00+00:00,52.52,13.4,GMT,37.0,-5.3,68,-10.5,0.0,0,13.0
2025-12-25T02:00:00+00:00,52.52,13.4,GMT,37.0,-5.5,69,-10.6,0.0,0,12.4
2025-12-25T03:00:00+00:00,52.52,13.4,GMT,37.0,-5.6,70,-10.7,0.0,0,12.3
2025-12-25T04:00:00+00:00,52.52,13.4,GMT,37.0,-5.8,71,-11.0,0.0,0,12.9
2025-12-25T05:00:00+00:00,52.52,13.4,GMT,37.0,-5.9,71,-11.1,0.0,0,13.0
2025-12-25T06:00:00+00:00,52.52,13.4,GMT,37.0,-6.1,71,-11.3,0.0,0,13.3
2025-12-25T07:00:00+00:00,52.52,13.4,GMT,37.0,-6.2,69,-11.5,0.0,0,13.7
2025-12-25T08:00:00+00:00,52.52,13.4,GMT,37.0,-6.3,68,-11.6,0.0,0,13.1
2025-12-25T09:00:00+00:00,52.52,13.4,GMT,37.0,-6.0,65,-11.2,0.0,0,12.6
2025-12-25T10:00:00+00:00,52.52,13.4,GMT,37.0,-5.5,62,-10.6,0.0,0,11.5
2025-12-25T11:00:00+00:00,52.52,13.4,GMT,37.0,-4.8,57,-9.8,0.0,0,11.2
2025-12-25T12:00:00+00:00,52.52,13.4,GMT,37.0,-4.0,53,-9.1,0.0,0,11.2
2025-12-25T13:00:00+00:00,52.52,13.4,GMT,37.0,-3.6,52,-8.5,0.0,0,10.6
2025-12-25T14:00:00+00:00,52.52,13.4,GMT,37.0,-3.6,53,-8.5,0.0,0,10.2
2025-12-25T15:00:00+00:00,52.52,13.4,GMT,37.0,-4.3,58,-9.0,0.0,0,9.1
2025-12-25T16:00:00+00:00,52.52,13.4,GMT,37.0,-5.0,63,-9.5,0.0,0,7.9
2025-12-25T17:00:00+00:00,52.52,13.4,GMT,37.0,-5.4,64,-9.8,0.0,0,7.3
2025-12-25T18:00:00+00:00,52.52,13.4,GMT,37.0,-5.7,66,-10.0,0.0,1,6.9
2025-12-25T19:00:00+00:00,52.52,13.4,GMT,37.0,-6.0,67,-10.3,0.0,1,6.9
2025-12-25T20:00:00+00:00,52.52,13.4,GMT,37.0,-6.2,68,-10.5,0.0,0,6.6
2025-12-25T21:00:00+00:00,52.52,13.4,GMT,37.0,-6.4,68,-10.6,0.0,1,6.2
2025-12-25T22:00:00+00:00,52.52,13.4,GMT,37.0,-6.6,69,-10.8,0.0,0,5.9
2025-12-25T23:00:00+00:00,52.52,13.4,GMT,37.0,-6.7,68,-10.8,0.0,0,5.2
2025-12-26T00:00:00+00:00,52.52,13.4,GMT,37.0,-6.8,68,-10.7,0.0,0,3.9
2025-12-26T01:00:00+00:00,52.52,13.4,GMT,37.0,-6.8,67,-10.7,0.0,0,3.4
2025-12-26T02:00:00+00:00,52.52,13.4,GMT,37.0,-6.8,66,-10.5,0.0,0,2.5
2025-12-26T03:00:00+00:00,52.52,13.4,GMT,37.0,-6.7,65,-10.4,0.0,0,2.1
2025-12-26T04:00:00+00:00,52.52,13.4,GMT,37.0,-6.7,64,-10.5,0.0,0,2.7
2025-12-26T05:00:00+00:00,52.52,13.4,GMT,37.0,-6.7,63,-10.5,0.0,1,2.2
2025-12-26T06:00:00+00:00,52.52,13.4,GMT,37.0,-6.7,61,-10.6,0.0,2,3.0
2025-12-26T07:00:00+00:00,52.52,13.4,GMT,37.0,-6.7,61,-10.6,0.0,2,2.8
2025-12-26T08:00:00+00:00,52.52,13.4,GMT,37.0,-6.7,62,-10.5,0.0,3,2.5
2025-12-26T09:00:00+00:00,52.52,13.4,GMT,37.0,-6.1,61,-10.0,0.0,1,3.2
2025-12-26T10:00:00+00:00,52.52,13.4,GMT,37.0,-5.0,57,-8.8,0.0,1,3.1
2025-12-26T11:00:00+00:00,52.52,13.4,GMT,37.0,-3.7,51,-7.6,0.0,1,3.2
2025-12-26T12:00:00+00:00,52.52,13.4,GMT,37.0,-2.7,50,-6.6,0.0,2,4.1
2025-12-26T13:00:00+00:00,52.52,13.4,GMT,37.0,-2.0,55,-5.8,0.0,1,4.3
2025-12-26T14:00:00+00:00,52.52,13.4,GMT,37.0,-1.8,62,-5.5,0.0,2,4.3
2025-12-26T15:00:00+00:00,52.52,13.4,GMT,37.0,-1.9,68,-5.4,0.0,3,4.0
2025-12-26T16:00:00+00:00,52.52,13.4,GMT,37.0,-1.9,74,-5.3,0.0,3,3.7
2025-12-26T17:00:00+00:00,52.52,13.4,GMT,37.0,-1.7,79,-4.9,0.0,3,3.4
2025-12-26T18:00:00+00:00,52.52,13.4,GMT,37.0,-1.4,83,-4.6,0.0,3,3.4
2025-12-26T19:00:00+00:00,52.52,13.4,GMT,37.0,-1.2,87,-4.2,0.0,3,3.1
2025-12-26T20:00:00+00:00,52.52,13.4,GMT,37.0,-0.9,90,-3.8,0.0,3,3.2
2025-12-26T21:00:00+00:00,52.52,13.4,GMT,37.0,-0.6,93,-3.4,0.0,3,3.1
2025-12-26T22:00:00+00:00,52.52,13.4,GMT,37.0,-0.4,95,-3.1,0.0,45,3.1
2025-12-26T23:00:00+00:00,52.52,13.4,GMT,37.0,-0.2,96,-2.8,0.0,45,3.1
2025-12-27T00:00:00+00:00,52.52,13.4,GMT,37.0,0.0,97,-2.6,0.0,45,3.1
2025-12-27T01:00:00+00:00,52.52,13.4,GMT,37.0,0.2,98,-2.4,0.0,45,3.1
2025-12-27T02:00:00+00:00,52.52,13.4,GMT,37.0,0.3,98,-2.2,0.0,45,3.2
2025-12-27T03:00:00+00:00,52.52,13.4,GMT,37.0,0.4,98,-2.1,0.0,45,3.1
2025-12-27T04:00:00+00:00,52.52,13.4,GMT,37.0,0.5,98,-2.1,0.0,45,3.3
2025-12-27T05:00:00+00:00,52.52,13.4,GMT,37.0,0.5,99,-2.1,0.0,45,3.3
2025-12-27T06:00:00+00:00,52.52,13.4,GMT,37.0,0.5,99,-2.1,0.0,45,3.7
2025-12-27T07:00:00+00:00,52.52,13.4,GMT,37.0,0.5,99,-2.1,0.0,3,4.0
2025-12-27T08:00:00+00:00,52.52,13.4,GMT,37.0,0.6,99,-2.1,0.0,3,4.5
2025-12-27T09:00:00+00:00,52.52,13.4,GMT,37.0,0.7,99,-2.1,0.0,3,5.4
2025-12-27T10:00:00+00:00,52.52,13.4,GMT,37.0,1.0,99,-1.9,0.0,3,6.0
