time_iso,latitude,longitude,timezone,elevation,temperature_2m_c,relative_humidity_2m_pct,apparent_temperature_c,precipitation_mm,weathercode_wmo,windspeed_10m_kmh
2025-12-23T00:00:00+00:00,40.4375,-3.6875,GMT,666.0,2.8,79,-0.3,0.0,3,6.5
2025-12-23T01:00:00+00:00,40.4375,-3.6875,GMT,666.0,2.7,82,-0.3,0.0,3,5.8
2025-12-23T02:00:00+00:00,40.4375,-3.6875,GMT,666.0,2.8,82,-0.3,0.0,3,6.1
2025-12-23T03:00:00+00:00,40.4375,-3.6875,GMT,666.0,2.5,82,-0.4,0.0,3,5.0
2025-12-23T04:00:00+00:00,40.4375,-3.6875,GMT,666.0,2.2,83,-0.5,0.0,2,3.6
2025-12-23T05:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.8,86,-0.7,0.0,1,2.6
2025-12-23T06:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.8,87,-0.5,0.0,3,1.1
2025-12-23T07:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.6,89,-0.8,0.0,3,1.3
2025-12-23T08:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.5,91,-1.0,0.0,3,2.8
2025-12-23T09:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.6,95,-0.8,0.0,45,2.5
2025-12-23T10:00:00+00:00,40.4375,-3.6875,GMT,666.0,2.7,91,0.4,0.0,45,2.6
2025-12-23T11:00:00+00:00,40.4375,-3.6875,GMT,666.0,3.6,88,1.3,0.0,3,2.6
2025-12-23T12:00:00+00:00,40.4375,-3.6875,GMT,666.0,4.6,82,2.4,0.0,3,1.9
2025-12-23T13:00:00+00:00,40.4375,-3.6875,GMT,666.0,5.4,78,3.2,0.0,3,2.5
2025-12-23T14:00:00+00:00,40.4375,-3.6875,GMT,666.0,5.9,79,3.5,0.0,3,4.3
2025-12-23T15:00:00+00:00,40.4375,-3.6875,GMT,666.0,6.2,79,4.2,0.0,3,2.5
2025-12-23T16:00:00+00:00,40.4375,-3.6875,GMT,666.0,6.3,79,4.2,0.0,3,3.1
2025-12-23T17:00:00+00:00,40.4375,-3.6875,GMT,666.0,6.0,81,4.0,0.0,3,2.9
2025-12-23T18:00:00+00:00,40.4375,-3.6875,GMT,666.0,5.7,83,3.7,0.0,3,2.2
2025-12-23T19:00:00+00:00,40.4375,-3.6875,GMT,666.0,5.1,86,3.1,0.0,3,2.4
2025-12-23T20:00:00+00:00,40.4375,-3.6875,GMT,666.0,4.7,88,2.9,0.0,2,0.5
2025-12-23T21:00:00+00:00,40.4375,-3.6875,GMT,666.0,4.0,91,2.0,0.0,1,1.9
2025-12-23T22:00:00+00:00,40.4375,-3.6875,GMT,666.0,3.2,94,1.0,0.0,3,3.4
2025-12-23T23:00:00+00:00,40.4375,-3.6875,GMT,666.0,2.2,97,-0.1,0.0,45,3.4
2025-12-24T00:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.6,98,-0.9,0.0,45,3.5
2025-12-24T01:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.5,97,-0.9,0.0,45,3.4
2025-12-24T02:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.4,97,-1.0,0.0,45,3.3
2025-12-24T03:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.2,98,-1.3,0.0,45,3.5
2025-12-24T04:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.4,97,-1.1,0.0,45,3.7
2025-12-24T05:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.6,95,-0.9,0.0,2,4.0
2025-12-24T06:00:00+00:00,40.4375,-3.6875,GMT,666.0,1.9,92,-0.7,0.0,3,4.5
